Replication,Treatment,Larva Weight,Cocoon Weight,Pupa Weight,Shell Weight,Shell Ratio,Filament Length,Filament Weight,Denier
1,t1(Kanva),33.52,175.75,13.25,43.25,25.49,1052.4,2.62,2.24
1,t2(Victoria-1),36.97,169,11.7,39.4,25.82,1120.33,3.177,2.55
1,t3(LN-40),26.34,153.4,11.46,35.45,23.29,998.8,2.28,2.054
1,t4(S-36),32.76,153.9,11.795,36.65,23.82,961.67,2.22,2.077
1,t5(S-54),34.16,156.2,11.725,39.2,24.83,957.25,2.21,2.077
2,t1(Kanva),32.25,163.3,12.425,39.05,24.75,1020.5,2.4,2.116
2,t2(Victoria-1),37.5,158.3,11.52,39.2,25.47,1118.9,2.64,2.123
2,t3(LN-40),25.84,151.5,11.645,34.6,22.988,967.2,2.2,2.047
2,t4(S-36),30.52,142.9,11.69,35.95,25.3525,1022.25,2.425,2.135
2,t5(S-54),34.67,154.05,10.695,38.85,24.0945,1063.61,2.5,2.115
3,t1(Kanva),36.15,167,12.72,39.8,25.1475,945.8,2.22,2.117
3,t2(Victoria-1),32.66,160,11.74,38.4,24.9387,1019.5,2.52,2.224
3,t3(LN-40),24.21,144.2,10.89,33.1,23.252,693.4,1.6364,2.1239
3,t4(S-36),34.33,146.85,11.11,35.85,24.5069,845.8,2.04,2.17
3,t5(S-54),33.09,145.1,11.1,36.15,24.0803,1009.1,2.42,2.158
4,t1(Kanva),35.22,166.25,12.62,40.05,25.0972,1087.53,2.64,2.184
4,t2(Victoria-1),43.63,167.6,12.615,41.45,25.0219,1119.61,2.85,2.2909
4,t3(LN-40),27.96,141.15,11.32,33.9,24.136,964.3,2,1.866
4,t4(S-36),32.36,144.5,10.725,35.75,25.1293,1017.5,2.4,2.122
4,t5(S-54),32.18,150.8,10.875,37.6,24.2726,920,2.16,2.113
